BioSample	host_tissue_sampled
SAMN02599019	Sputum
SAMN02599020	Sputum
SAMN02599021	Sputum
SAMN02599022	Sputum
SAMN02599023	Sputum
SAMN02599024	Sputum
SAMN02599025	Sputum
SAMN02599026	Sputum
SAMN02599027	Sputum
SAMN02599028	Sputum
SAMN02599029	Sputum
SAMN02599030	Sputum
SAMN02599031	Sputum
SAMN02599032	Sputum
SAMN02599033	Sputum
SAMN02599034	Sputum
SAMN02599035	Sputum
SAMN02599036	Sputum
SAMN02599037	Sputum
SAMN02599038	Sputum
SAMN02599039	Sputum
SAMN02599040	Sputum
SAMN02599041	Sputum
SAMN02599042	Sputum
SAMN02599043	Sputum
SAMN02599044	Sputum
SAMN02599045	Sputum
SAMN02599046	Sputum
SAMN02599047	Sputum
SAMN02599048	Sputum
SAMN02599049	Sputum
SAMN02599050	Sputum
SAMN02599051	Sputum
SAMN02599052	Sputum
SAMN02599053	Sputum
SAMN02599054	Sputum
SAMN02599055	Sputum
SAMN02599056	Sputum
SAMN02599057	Sputum
SAMN02599058	Sputum
SAMN02599059	Sputum
SAMN02599060	Sputum
SAMN02599061	Sputum
SAMN02599062	Sputum
SAMN02599063	Sputum
SAMN02599064	Sputum
SAMN02599065	Sputum
SAMN02599066	Sputum
SAMN02599067	Sputum
SAMN02599068	Sputum
SAMN02599069	Sputum
SAMN02599070	Sputum
SAMN02599071	Sputum
SAMN02599072	Sputum
SAMN02599073	Sputum
SAMN02599074	Sputum
SAMN02599075	Sputum
SAMN02599076	Sputum
SAMN02599077	Sputum
SAMN02599078	Sputum
SAMN02599079	Sputum
SAMN02599080	Sputum
SAMN02599081	Sputum
SAMN02599082	Sputum
SAMN02599083	Sputum
SAMN02599084	Sputum
SAMN02599085	Sputum
SAMN02599086	Sputum
SAMN02599088	Sputum
SAMN02599089	Sputum
SAMN02599090	Sputum
SAMN02599091	Sputum
SAMN02599092	Sputum
SAMN02599093	Sputum
SAMN02599094	Sputum
SAMN02599095	Sputum
SAMN02599096	Sputum
SAMN02599097	Sputum
SAMN02599098	Sputum
SAMN02599099	Sputum
SAMN02599100	Sputum
SAMN02599101	Sputum
SAMN02599102	Sputum
SAMN02599103	Sputum
SAMN02599104	Sputum
SAMN02599105	Sputum
SAMN02599106	Sputum
SAMN02599107	Sputum
SAMN02599108	Sputum
SAMN02599109	Sputum
SAMN02599110	Sputum
SAMN02599111	Sputum
SAMN02599112	Sputum
SAMN02599113	Sputum
SAMN02599114	Sputum
SAMN02599115	Sputum
SAMN02599116	Sputum
SAMN02599117	Sputum
SAMN02599118	Sputum
SAMN02599119	Sputum
SAMN02599120	Sputum
SAMN02599121	Sputum
SAMN02599122	Sputum
SAMN02599123	Sputum
SAMN02599124	Sputum
SAMN02599125	Sputum
SAMN02599126	Sputum
SAMN02599127	Sputum
SAMN02599129	Sputum
SAMN02599130	Sputum
SAMN02599131	Sputum
SAMN02599132	Sputum
SAMN02599133	Sputum
SAMN02599134	Sputum
SAMN02599135	Sputum
SAMN02599136	Sputum
SAMN02599137	Sputum
SAMN02599138	Sputum
SAMN02599140	Sputum
SAMN02599141	Sputum
SAMN02599142	Sputum
SAMN02599143	Sputum
SAMN02599144	Sputum
SAMN02599145	Sputum
SAMN02599146	Sputum
SAMN02599147	Sputum
SAMN02599148	Sputum
SAMN02599149	Sputum
SAMN02599150	Sputum
SAMN02599151	Sputum
SAMN02599152	Sputum
SAMN02599153	Sputum
SAMN02599154	Sputum
SAMN02599156	Sputum
SAMN02599157	Sputum
SAMN02599158	Sputum
SAMN02599159	Sputum
SAMN02599160	Sputum
SAMN02599161	Sputum
SAMN02599162	Sputum
SAMN02599163	Sputum
SAMN02599164	Sputum
SAMN02599165	Sputum
SAMN02599167	Sputum
SAMN02599168	Sputum
SAMN02599169	Sputum
SAMN02599170	Sputum
SAMN02599171	Sputum
SAMN02599172	Sputum
SAMN02599173	Sputum
SAMN02599174	Sputum
SAMN02599175	Sputum
SAMN02599176	Sputum
SAMN02599177	Sputum
SAMN02599179	Sputum
SAMN02599180	Sputum
SAMN02599181	Sputum
SAMN02599182	Sputum
SAMN02599183	Sputum
SAMN02599184	Sputum
SAMN02603011	Sputum
SAMN02688394	Sputum
SAMN02713587	Sputum
SAMN02731427	Cerebrospinal fluid
SAMN02767600	Sputum
SAMN02777350	Sputum
SAMN02797826	Sputum
SAMN02797828	Sputum
SAMN02819975	Sputum
SAMN02819976	Sputum
SAMN02819977	Sputum
SAMN02819978	Sputum
SAMN02820311	Sputum
SAMN02837622	Pleural fluid
SAMN02837623	Cerebrospinal fluid
SAMN02837624	Lung
SAMN02837625	Lung
SAMN02837626	Sputum
SAMN02837627	Sputum
SAMN02837628	Sputum
SAMN02837629	Sputum
SAMN02837630	Sputum
SAMN02837631	Pancreas
SAMN02837632	Sputum
SAMN02837633	Sputum
SAMN02837634	Bronchial fluid
SAMN02837635	Bronchial fluid
SAMN02837636	Sputum
SAMN02837637	Sputum
SAMN02837638	Bronchial fluid
SAMN02837639	Sputum
SAMN02837640	Sputum
SAMN02837641	Bronchial fluid
SAMN02837642	Testis
SAMN02837643	Sputum
SAMN02837644	Sputum
SAMN02837645	Sputum
SAMN02837646	Lymph nodes
SAMN02837647	Sputum
SAMN02837648	Sputum
SAMN02837649	Bronchial fluid
SAMN02837650	Bronchial fluid
SAMN02837651	Sputum
SAMN02837652	Sputum
SAMN02837653	Bronchial fluid
SAMN02837654	Bronchial fluid
SAMN02837655	Kidney
SAMN02837656	Sputum
SAMN02837657	Sputum
SAMN02837658	Bronchus
SAMN02848645	Sputum
SAMN02864847	Sputum
SAMN02864881	Sputum
SAMN02864882	Sputum
SAMN02864883	Sputum
SAMN02864884	Sputum
SAMN02864885	Sputum
SAMN02864886	Sputum
SAMN02874015	Sputum
SAMN02887314	Sputum
SAMN03002394	Sputum
SAMN03257096	Sputum
SAMN03265108	Sputum
SAMN03267964	Sputum
SAMN03272559	Sputum
SAMN03290670	Laryngopharyngeal lymph node
SAMN03290698	Cerebrospinal fluid
SAMN03290700	Cerebrospinal fluid
SAMN03338741	Cerebrospinal fluid
SAMN03338742	Sputum
SAMN03338743	Sputum
SAMN03338744	Sputum
SAMN03372109	Sputum
SAMN03460429	Sputum
SAMN03496755	Sputum
SAMN03776961	Pectoral limph nodes
SAMN03793145	Cerebrospinal fluid
SAMN03793146	Cerebrospinal fluid
SAMN03793151	Cerebrospinal fluid
SAMN03840761	Sputum
SAMN03861514	Sputum
SAMN03921880	Sputum
SAMN03941250	Sputum
SAMN04023334	Sputum
SAMN04117128	Sputum
SAMN04159245	Cerebrospinal fluid
SAMN04159257	Cerebrospinal fluid
SAMN04241384	Laryngopharyngeal lymph node
SAMN04479830	Sputum
SAMN04491053	Sputum
SAMN04492771	Sputum
SAMN04492779	Sputum
SAMN04492780	Sputum
SAMN04492781	Sputum
SAMN04492782	Sputum
SAMN04492783	Sputum
SAMN04492784	Tracheal secretion
SAMN04492785	Cerebrospinal fluid
SAMN04492786	Sputum
SAMN04492787	Sputum
SAMN04492789	Sputum
SAMN04492790	Sputum
SAMN04492791	Sputum
SAMN04492792	Gastric lavage
SAMN04492793	Sputum
SAMN04550924	Sputum
SAMN04595071	Sputum
SAMN04595072	Sputum
SAMN04599205	Sputum
SAMN04910091	Cerebrospinal fluid
SAMN04910094	Cerebrospinal fluid
SAMN04910096	Cerebrospinal fluid
SAMN04910097	Cerebrospinal fluid
SAMN04910098	Cerebrospinal fluid
SAMN04910113	Cerebrospinal fluid
SAMN05187972	Sputum
SAMN05447655	Sputum
SAMN05447658	Sputum
SAMN05725038	Mandibular lymph node
SAMN05791987	Brain
SAMN05933692	Sputum
SAMN05933699	Sputum
SAMN06077019	Sputum
SAMN06100257	Sputum
SAMN06141171	Sputum
SAMN06169721	Sputum
SAMN06169722	Sputum
SAMN06250727	Retropharyngeal lymph node
SAMN06250728	Mediastinal lymph node
SAMN06292065	Cerebrospinal fluid
SAMN06292067	Cerebrospinal fluid
SAMN06292590	Sputum
SAMN06292592	Sputum
SAMN06462277	Granulomatous lesion in lymph node
SAMN06462279	Lymph node and lung
SAMN06563651	Sputum
SAMN06563652	Sputum
SAMN06563653	Sputum
SAMN06563654	Sputum
SAMN06563655	Sputum
SAMN06563656	Sputum
SAMN06563657	Sputum
SAMN06563658	Sputum
SAMN06563659	Sputum
SAMN06563660	Sputum
SAMN06624811	Sputum
SAMN06624812	Sputum
SAMN06624814	Sputum
SAMN06624815	Sputum
SAMN06627426	Lymph nodes
SAMN06627448	Lymph nodes
SAMN06627494	Lymph nodes
SAMN06627497	Lymph nodes
SAMN06627533	Lymph nodes
SAMN06627600	Lymph nodes
SAMN06627640	Lymph nodes
SAMN06627641	Lungs, pleura
SAMN06627643	Lymph nodes
SAMN06627645	Lymph nodes
SAMN06627992	Lymph nodes
SAMN06627993	Lymph nodes
SAMN06627994	Lymph nodes
SAMN06627995	Lymph nodes
SAMN06627996	Lymph nodes
SAMN06627997	Lymph nodes
SAMN06628109	Lymph nodes
SAMN06628110	Lymph nodes
SAMN06628112	Lymph nodes
SAMN06628114	Lymph nodes
SAMN06628115	Lymph nodes, lungs, pleura
SAMN06643392	Sputum
SAMN06697553	Retropharyngeal lymph node
SAMN06697554	Retropharyngeal, hepatic and mesenteric lymph Nnodes
SAMN07197331	Cerebrospinal fluid
SAMN07414819	Sputum
SAMN07414820	Sputum
SAMN07570350	Brain
SAMN07570351	Lung
SAMN07664823	Sputum
SAMN07664824	Sputum
SAMN07664825	Sputum
SAMN07664826	Sputum
SAMN07664827	Sputum
SAMN07664828	Sputum
SAMN07664829	Sputum
SAMN07664830	Sputum
SAMN07664831	Sputum
SAMN07664832	Sputum
SAMN07664833	Sputum
SAMN07664834	Sputum
SAMN07664835	Sputum
SAMN07664836	Sputum
SAMN07664837	Sputum
SAMN07664838	Sputum
SAMN07664839	Sputum
SAMN07664840	Sputum
SAMN07664841	Sputum
SAMN07664842	Sputum
SAMN07664843	Sputum
SAMN07664844	Sputum
SAMN07664845	Sputum
SAMN07664846	Sputum
SAMN07664847	Sputum
SAMN07664848	Sputum
SAMN07664849	Sputum
SAMN07664850	Sputum
SAMN07664851	Sputum
SAMN07664852	Sputum
SAMN07664853	Sputum
SAMN07664854	Sputum
SAMN07664855	Sputum
SAMN07664856	Sputum
SAMN07664857	Sputum
SAMN07664858	Sputum
SAMN07664859	Sputum
SAMN07664860	Sputum
SAMN07664861	Sputum
SAMN07664862	Sputum
SAMN07664863	Sputum
SAMN07664864	Sputum
SAMN07664865	Sputum
SAMN07664866	Sputum
SAMN07664867	Sputum
SAMN07664868	Sputum
SAMN07664869	Sputum
SAMN07664870	Sputum
SAMN07664871	Sputum
SAMN07664872	Sputum
SAMN07664873	Sputum
SAMN07664874	Sputum
SAMN07664875	Sputum
SAMN07664876	Sputum
SAMN07664877	Sputum
SAMN07664878	Sputum
SAMN07664879	Sputum
SAMN07664880	Sputum
SAMN07664881	Sputum
SAMN07664882	Sputum
SAMN07664883	Sputum
SAMN07664884	Sputum
SAMN07664885	Sputum
SAMN07664886	Sputum
SAMN07664887	Sputum
SAMN07664888	Sputum
SAMN07664889	Sputum
SAMN07664890	Sputum
SAMN07701721	Sputum
SAMN07701799	Sputum
SAMN07709478	Mediastinal lymph node
SAMN08095524	Sputum
SAMN08095528	Sputum
SAMN08095537	Sputum
SAMN08095541	Sputum
SAMN08095555	Sputum
SAMN08095578	Sputum
SAMN08432322	Lung
SAMN08432487	Lung
SAMN08432953	Lung
SAMN08432968	Lung
SAMN08432974	Lung
SAMN08432975	Lung
SAMN08432976	Lung
SAMN08432978	Lung
SAMN08432985	Lung
SAMN08462824	Cerebrospinal fluid
SAMN08765497	Sputum
SAMN08794918	Cerebrospinal fluid
SAMN08973501	Sputum
SAMN09206578	Pre-scapular limph node
SAMN09206579	Head lymph node
SAMN09206581	Head lymph node
SAMN09206582	Mesentery lymph node
SAMN09206583	Head lymph node
SAMN09206584	Mesentery lymph node
SAMN09229031	Sputum
SAMN09229032	Sputum
SAMN09453176	Sputum
SAMN09477757	Cerebrospinal fluid
SAMN10120074	Sputum
SAMN10120075	Sputum
SAMN10120076	Sputum
SAMN10120077	Sputum
SAMN10120078	Sputum
SAMN10120079	Sputum
SAMN10120080	Sputum
SAMN10120081	Sputum
SAMN10120082	Sputum
SAMN10120083	Sputum
SAMN10120084	Sputum
SAMN10120085	Sputum
SAMN10120086	Sputum
SAMN10120087	Sputum
SAMN10120088	Sputum
SAMN10120089	Sputum
SAMN10279424	Superficial abscess
SAMN10386492	Sputum
SAMN10386493	Sputum
SAMN10386494	Sputum
SAMN10386495	Sputum
SAMN10386496	Sputum
SAMN10386497	Sputum
SAMN10386498	Sputum
SAMN10417143	Sputum
SAMN10417144	Sputum
SAMN10417147	Sputum
SAMN10417148	Sputum
SAMN10417149	Sputum
SAMN10659527	Sputum
SAMN10659528	Sputum
SAMN10659529	Sputum
SAMN10659530	Sputum
SAMN10659531	Sputum
SAMN10659532	Sputum
SAMN10659533	Lung
SAMN10659534	Lung
SAMN10659535	Lung
SAMN10659536	Lung
SAMN11056472	Sputum
SAMN11523165	Sputum
SAMN11554257	Bronchoalveolar lavage
SAMN11554259	Cerebrospinal fluid
SAMN11554260	Sputum
SAMN11554261	Vertebral
SAMN11554262	Bronchoalveolar lavage
SAMN11620726	Urine
SAMN11620747	Lung
SAMN11620770	Lung
SAMN11620795	Lung
SAMN11620796	Lung
SAMN11620797	Lung
SAMN11620807	Lung
SAMN11620808	Lung
SAMN11620809	Lung
SAMN11620810	Lung
SAMN11620847	Lung
SAMN11620937	Lung
SAMN11954087	Lung
SAMN12126281	Lung
SAMN12216145	Sputum
SAMN12325189	Lung
SAMN12325190	Lung
SAMN12325191	Lung
SAMN12325192	Lung
SAMN12325193	Lung
SAMN12325194	Lung
SAMN12325195	Lung
SAMN12325196	Lung
SAMN12325197	Lung
SAMN12325198	Lung
SAMN12325199	Lung
SAMN12325200	Lung
SAMN12325201	Lung
SAMN12325202	Lung
SAMN12325203	Lung
SAMN12325204	Lung
SAMN12325205	Lung
SAMN12325206	Lung
SAMN12325207	Lung
SAMN12325208	Lung
SAMN12325209	Lung
SAMN12325210	Lung
SAMN12325211	Lung
SAMN12325212	Lung
SAMN12325213	Lung
SAMN12325214	Lung
SAMN12325215	Lung
SAMN12325216	Lung
SAMN12325217	Lung
SAMN12325218	Lung
SAMN12325219	Lung
SAMN12325220	Lung
SAMN12325221	Lung
SAMN12325222	Lung
SAMN12325223	Lung
SAMN12325224	Lung
SAMN12325225	Lung
SAMN12325226	Lung
SAMN12325227	Lung
SAMN12325228	Lung
SAMN12325229	Lung
SAMN12325230	Lung
SAMN12325231	Lung
SAMN12325232	Lung
SAMN12325233	Lung
SAMN12325234	Lung
SAMN12325235	Lung
SAMN12325236	Lung
SAMN12325237	Lung
SAMN12325238	Lung
SAMN12325239	Lung
SAMN12325240	Lung
SAMN12325241	Lung
SAMN12325242	Lung
SAMN12325243	Lung
SAMN12325244	Lung
SAMN12325245	Lung
SAMN12325246	Lung
SAMN12325247	Lung
SAMN12325248	Lung
SAMN12325249	Lung
SAMN12325250	Lung
SAMN12325251	Lung
SAMN12388335	Lung
SAMN12429790	Sputum
SAMN12429791	Sputum
SAMN12429792	Sputum
SAMN12429793	Sputum
SAMN12429794	Sputum
SAMN12429795	Sputum
SAMN12429796	Sputum
SAMN12429797	Sputum
SAMN12429798	Sputum
SAMN12429799	Sputum
SAMN12429800	Sputum
SAMN12429801	Sputum
SAMN12429802	Sputum
SAMN12429803	Sputum
SAMN12429804	Bronchoalveolar lavage
SAMN12429805	Sputum
SAMN12429806	Sputum
SAMN12429807	Sputum
SAMN12429808	Sputum
SAMN12429809	Sputum
SAMN12429810	Sputum
SAMN12429811	Sputum
SAMN12429812	Sputum
SAMN12429813	Sputum
SAMN12429814	Sputum
SAMN12429815	Sputum
SAMN12429816	Sputum
SAMN12429817	Sputum
SAMN12429818	Sputum
SAMN12429819	Sputum
SAMN12429820	Bronchoalveolar lavage
SAMN12429821	Sputum
SAMN12429822	Sputum
SAMN12429823	Lymph nodes
SAMN12429824	Sputum
SAMN12429825	Bronchoalveolar lavage
SAMN12429826	Sputum
SAMN12429827	Sputum
SAMN12429828	Sputum
SAMN12429829	Sputum
SAMN12537184	Sputum
SAMN12537185	Sputum
SAMN12537186	Sputum
SAMN12537187	Sputum
SAMN12537188	Sputum
SAMN12785870	Sputum
SAMN12816907	Sputum
SAMN12877714	Sputum
SAMN12878103	Sputum
SAMN12878104	Sputum
SAMN12878105	Sputum
SAMN12878106	Sputum
SAMN12878107	Sputum
SAMN12878108	Sputum
SAMN12878111	Sputum
SAMN12911364	Sputum
SAMN13556300	Sputum
SAMN14053477	Sputum
SAMN14053478	Sputum
SAMN14299286	Sputum
SAMN14299287	Sputum
SAMN15348336	Sputum
SAMN15753983	Sputum
SAMN15832760	Lung
SAMN15850497	Sputum
SAMN15963001	Sputum
SAMN16406462	Sputum
SAMN16406463	Sputum
SAMN16406464	Sputum
SAMN16406465	Sputum
SAMN16406466	Sputum
SAMN16406467	Sputum
SAMN16406468	Sputum
SAMN16406469	Sputum
SAMN16406470	Sputum
SAMN16406471	Sputum
SAMN16406472	Sputum
SAMN16406473	Sputum
SAMN16406474	Sputum
SAMN16406475	Sputum
SAMN16406476	Sputum
SAMN16406477	Sputum
SAMN16406478	Sputum
SAMN16406479	Sputum
SAMN16808033	Pus
SAMN16808034	Sputum
SAMN16808035	Sputum
SAMN16808036	Sputum
SAMN16808037	Sputum
SAMN16808038	Sputum
SAMN16808039	Sputum
SAMN16808040	Sputum
SAMN16808041	Sputum
SAMN16808042	Sputum
SAMN16808043	Pleural fluid
SAMN16808044	Pleural fluid
SAMN16808045	Sputum
SAMN16808046	Sputum
SAMN16808047	Pus
SAMN16808048	Sputum
SAMN16808049	Sputum
SAMN16808050	Sputum
SAMN16808051	Sputum
SAMN16808052	Sputum
SAMN16808053	Sputum
SAMN16808054	Sputum
SAMN16808055	Sputum
SAMN16808056	Sputum
SAMN16808057	Sputum
SAMN16808058	Sputum
SAMN16808059	Sputum
SAMN16808060	Sputum
SAMN16808061	Sputum
SAMN16808062	Sputum
SAMN16808063	Sputum
SAMN16808064	Sputum
SAMN16808065	Sputum
SAMN16808066	Sputum
SAMN16808067	Sputum
SAMN16808068	Sputum
SAMN16808069	Sputum
SAMN16808070	Sputum
SAMN16808071	Sputum
SAMN16808072	Sputum
SAMN16808073	Sputum
SAMN16808075	Sputum
SAMN16808076	Sputum
SAMN16808077	Sputum
SAMN16808078	Sputum
SAMN16808079	Sputum
SAMN16808080	Sputum
SAMN16808081	Sputum
SAMN16808082	Sputum
SAMN16808083	Sputum
SAMN16808084	Sputum
SAMN16808085	Sputum
SAMN16808086	Sputum
SAMN16808087	Sputum
SAMN16808088	Sputum
SAMN18056856	Sputum
SAMN18056929	Sputum
SAMN18264921	Fermented dairy
SAMN19110219	Lymph node necropsy
SAMN19110220	Lymph node necropsy
SAMN19129632	Lung
SAMN19129633	Lung
SAMN19960505	Eye
SAMN20600143	Sputum
SAMN20600144	Sputum
SAMN20600146	Sputum
SAMN20600150	Sputum
SAMN20600152	Sputum
SAMN20600154	Sputum
SAMN20600155	Sputum
SAMN20600163	Sputum
SAMN21194396	Sputum
SAMN21558691	Sputum
SAMN22322590	Sputum
SAMN23441947	Sputum
SAMN27028218	Skin
SAMN27028219	Skin
SAMN27028220	Skin
SAMN27028221	Skin
